TimeStamp,test.data8i,test.float_data,test.data,test.address
10416.9,96,729.897,206,270
10417.2,96,729.897,206,270
10417.5,96,729.897,206,270
10417.8,96,729.897,206,270
10418.1,97,729.197,208,270
10418.3,97,729.197,208,260
10418.7,97,729.197,208,260
10419,97,729.197,208,260
10419.2,97,729.197,208,260
10419.5,97,729.197,208,260
10419.8,97,729.197,208,260
10420.1,98,728.497,210,250
10420.3,98,728.497,210,250
10420.7,98,728.497,210,250
10420.9,98,728.497,210,250
10421.2,98,728.497,210,250
10421.4,98,728.497,210,250
10421.8,98,728.497,210,250
10422.1,99,727.797,212,250
10422.3,99,727.797,212,240
10422.7,99,727.797,212,240
10422.9,99,727.797,212,240
10423.2,99,727.797,212,240
10423.4,99,727.797,212,240
10423.8,99,727.797,212,240
10424.1,100,727.097,214,230
10424.4,100,727.097,214,230
10424.7,100,727.097,214,230
10425,100,727.097,214,230
10425.2,100,727.097,214,230
10425.4,100,727.097,214,230
10425.8,100,727.097,214,230
10426.1,101,726.397,216,230
10426.3,101,726.397,216,220
10426.7,101,726.397,216,220
10426.9,101,726.397,216,220
10427.2,101,726.397,216,220
10427.5,101,726.397,216,220
10427.8,101,726.397,216,220
10428.1,102,725.697,218,210
10428.3,102,725.697,218,210
10428.7,102,725.697,218,210
10428.9,102,725.697,218,210
10429.2,102,725.697,218,210
10429.4,102,725.697,218,210
10429.8,102,725.697,218,210
10430.1,103,724.997,220,210
10430.3,103,724.997,220,200
10430.7,103,724.997,220,200
10431,103,724.997,220,200
10431.2,103,724.997,220,200
10431.5,103,724.997,220,200
10431.8,103,724.997,220,200
10432.1,104,724.297,222,190
10432.3,104,724.297,222,190
10432.9,104,724.297,222,190
10433.2,104,724.297,222,190
10433.4,104,724.297,222,190
10433.8,104,724.297,222,190
10434.1,105,723.597,224,200
10434.3,105,723.597,224,200
10434.7,105,723.597,224,200
10434.9,105,723.597,224,200
10435.2,105,723.597,224,200
10435.4,105,723.597,224,200
10435.8,105,723.597,224,200
10436.1,106,722.897,226,210
10436.4,106,722.897,226,210
10436.7,106,722.897,226,210
10436.9,106,722.897,226,210
10437.2,106,722.897,226,210
10437.4,106,722.897,226,210
10437.8,106,722.897,226,210
10438.1,107,722.197,228,220
10438.3,107,722.197,228,220
10438.7,107,722.197,228,220
10438.9,107,722.197,228,220
10439.2,107,722.197,228,220
10439.4,107,722.197,228,220
10440,107,722.197,228,220
10440.2,108,721.497,230,230
10440.7,108,721.497,230,230
10441,108,721.497,230,230
10441.2,108,721.497,230,230
10441.4,108,721.497,230,230
10441.8,108,721.497,230,230
10442.1,109,720.797,232,240
10442.3,109,720.797,232,240
10442.7,109,720.797,232,240
10442.9,109,720.797,232,240
10443.2,109,720.797,232,240
10443.7,109,720.797,232,240
10444,110,720.097,232,240
10444.3,110,720.097,234,250
10444.7,110,720.097,234,250
10445,110,720.097,234,250
10445.3,110,720.097,234,250
10445.7,110,720.097,234,250
10446,111,720.097,234,250
